2024-04-15 16:46:38 status installed libfido2-1:amd64 1.6.0-2
2024-04-15 16:46:38 configure openssl:amd64 1.1.1w-0+deb11u1 <none>
2024-04-15 16:46:38 status unpacked openssl:amd64 1.1.1w-0+deb11u1
2024-04-15 16:46:38 status half-configured openssl:amd64 1.1.1w-0+deb11u1
2024-04-15 16:46:38 status installed openssl:amd64 1.1.1w-0+deb11u1
2024-04-15 16:46:38 configure libbsd0:amd64 0.11.3-1+deb11u1 <none>
2024-04-15 16:46:38 status unpacked libbsd0:amd64 0.11.3-1+deb11u1
2024-04-15 16:46:38 status half-configured libbsd0:amd64 0.11.3-1+deb11u1
2024-04-15 16:46:38 status installed libbsd0:amd64 0.11.3-1+deb11u1
2024-04-15 16:46:38 configure readline-common:all 8.1-1 <none>
2024-04-15 16:46:38 status unpacked readline-common:all 8.1-1
2024-04-15 16:46:38 status half-configured readline-common:all 8.1-1
2024-04-15 16:46:38 status installed readline-common:all 8.1-1
2024-04-15 16:46:38 configure libprocps8:amd64 2:3.3.17-5 <none>
2024-04-15 16:46:38 status unpacked libprocps8:amd64 2:3.3.17-5
2024-04-15 16:46:38 status half-configured libprocps8:amd64 2:3.3.17-5
2024-04-15 16:46:38 status installed libprocps8:amd64 2:3.3.17-5
2024-04-15 16:46:38 configure libgdbm6:amd64 1.19-2 <none>
2024-04-15 16:46:38 status unpacked libgdbm6:amd64 1.19-2
2024-04-15 16:46:38 status half-configured libgdbm6:amd64 1.19-2
2024-04-15 16:46:38 status installed libgdbm6:amd64 1.19-2
2024-04-15 16:46:38 configure libaprutil1:amd64 1.6.1-5+deb11u1 <none>
2024-04-15 16:46:38 status unpacked libaprutil1:amd64 1.6.1-5+deb11u1
2024-04-15 16:46:38 status half-configured libaprutil1:amd64 1.6.1-5+deb11u1
2024-04-15 16:46:38 status installed libaprutil1:amd64 1.6.1-5+deb11u1
2024-04-15 16:46:38 configure libice6:amd64 2:1.0.10-1 <none>
2024-04-15 16:46:38 status unpacked libice6:amd64 2:1.0.10-1
2024-04-15 16:46:38 status half-configured libice6:amd64 2:1.0.10-1
2024-04-15 16:46:38 status installed libice6:amd64 2:1.0.10-1
2024-04-15 16:46:38 configure libxdmcp6:amd64 1:1.1.2-3 <none>
2024-04-15 16:46:38 status unpacked libxdmcp6:amd64 1:1.1.2-3
2024-04-15 16:46:38 status half-configured libxdmcp6:amd64 1:1.1.2-3
2024-04-15 16:46:38 status installed libxdmcp6:amd64 1:1.1.2-3
2024-04-15 16:46:38 configure libxcb1:amd64 1.14-3 <none>
2024-04-15 16:46:38 status unpacked libxcb1:amd64 1.14-3
2024-04-15 16:46:38 status half-configured libxcb1:amd64 1.14-3
2024-04-15 16:46:38 status installed libxcb1:amd64 1.14-3
